component_id,subsystem,component,candidate,quantity,unit_mass_kg,mass_certainty,unit_price_chf,price_certainty,location,status,basis,source_url
EF-001,solar,PV module,EcoFlow 175 W rigid TOPCon panel,4,9.3,manufacturer,149,current-retail,roof,packaging baseline,"700 Wp total; two independent 2S strings on separate Power Hub MPPT inputs",https://ch.ecoflow.com/products/ecoflow-solarpanel-175-watt-starr-topcon
EF-002,solar,Roof mounting and entry,Vehicle-approved rails brackets adhesive fasteners supports and sealed gland,1,10,estimate,600,material-allowance,roof,design required,"Physical installation material only; roof survey structural approval and labour excluded",
EF-003,power,EcoFlow Power Hub,EcoFlow Power Hub 5 kVA Get Set kit,1,15.5,manufacturer,2899,current-retail,technical bay,packaging baseline,"4000 W continuous 230 V output; integrated MPPT inverter charger and DC conversion",https://ch.ecoflow.com/products/ecoflow-power-kits-get-set-kit-5kva
EF-004,storage,EcoFlow LFP battery,EcoFlow 5 kWh LFP battery,1,40.6,manufacturer,3799,current-retail,technical bay,packaging baseline,"5120 Wh nominal; one-battery minimal configuration",https://ch.ecoflow.com/products/lfp-batterie-5kwh
EF-005,storage,EcoFlow battery bracket,EcoFlow Power Kits 5 kWh battery mounting bracket,1,1,estimate,49,current-retail,technical bay,design required,"Mass allowance pending configuration-specific manufacturer data",https://ch.ecoflow.com/products/lfp-batterie-5kwh
EF-006,distribution,EcoFlow AC/DC distribution,EcoFlow Smart AC/DC Distribution Panel,1,4,estimate,599,current-retail,technical bay,packaging baseline,"Branch distribution and monitoring; final protective-device coordination remains required",https://ch.ecoflow.com/products/acdc-verteilerkasten
EF-007,monitoring,EcoFlow touchscreen,EcoFlow Power Kits touchscreen monitor,1,0.45,manufacturer,349,current-retail,habitation HMI,packaging baseline,"Local control and system monitoring",https://ch.ecoflow.com/fr/products/touch-screen-monitor
EF-008,solar,EcoFlow PV input cable,Second EcoFlow Power Kits 5 kVA 6 m PV input cable,1,1,estimate,89,current-retail,roof to technical bay,design required,"The Power Hub kit includes one cable; a second cable enables two independent MPPT strings",https://ch.ecoflow.com/products/ecoflow-power-kits-5kva-pv-input-anschlusskabel-600-cm
EF-009,ac interface,Shore and vehicle AC source interface,Two-pole mechanically interlocked source selector RCD MCB shore inlet vehicle inlet and enclosure,1,4,estimate,500,material-allowance,distributed,design required,"Mandatory third-party material; shore and Renault V2L must never be paralleled; labour excluded",
EF-010,harness,Power and branch harnesses,AC and DC cables fuses connectors supports glands and labels,1,8,estimate,600,material-allowance,distributed,design required,"Mandatory third-party physical material; replace with measured cable schedule before build release",
EF-011,load,EcoFlow refrigerator,EcoFlow GLACIER Classic 45 L compressor refrigerator,1,22.3,manufacturer,749,current-retail,galley,packaging baseline,"Closest current EcoFlow model to the requested approximately 40 L refrigerator",https://ch.ecoflow.com/products/ecoflow-glacier-classic-45-liter-tragbare-kompressor-kuehlbox
EF-012,load,10 L boiler,10 L 500 W electric boiler with thermostat and relief hardware,1,3,estimate,450,material-allowance,water-service area,selection open,"EcoFlow does not offer the required fixed 10 L boiler; third-party product required",
EF-013,load,USB-C lighting,Six 5 W USB-C LED lights and compatible driver or outlets,1,1,estimate,180,material-allowance,habitation,selection open,"EcoFlow does not offer the required installed lighting set; third-party product required",
EF-014,load,USB-C charging,USB-C PD outlets cables and branch protection,1,0.5,estimate,100,material-allowance,habitation,selection open,"Supports two smartphones and occasional MacBook Air charging",
EF-015,load,Underfloor heater,100 W underfloor heating mat thermostat and branch protection,1,2,estimate,180,material-allowance,floor,selection open,"EcoFlow does not offer the required installed floor-heating system; third-party product required",
EF-016,load,Electric blanket,100 W electric blanket,1,1.5,estimate,100,material-allowance,bed,selection open,"EcoFlow does not offer the required blanket; third-party product required",
EF-017,load,MacBook Air charger,Existing Apple USB-C charger,1,0.3,estimate,0,user-owned,habitation,existing,"No new material purchase assumed",
EF-018,vehicle interface,Conditional 12 V travel charging branch,EcoFlow 5 kVA alternator input cable protected at 20 A maximum,1,2,estimate,250,material-allowance,vehicle to technical bay,conditional,"Starter-battery/DC-DC source only after Renault upfitter approval of current limit wake/sleep and connection point; no HV connection",
