component_id,subsystem,component,candidate,quantity,unit_mass_kg,mass_certainty,location,status,basis
EC-001,solar,PV module,Renogy ShadowFlux RSP200DC-ASR-G1 200 W,4,10.81,manufacturer,roof,packaging baseline,"200 W; 1262 x 764 x 30 mm; Voc 36.5 V; Vmp 31.3 V"
EC-002,solar,Roof mounting system,Vehicle-approved rails brackets adhesive and fasteners,1,15.0,estimate,roof,design required,"Distributed support and aerodynamic uplift verification pending"
EC-003,solar,PV roof wiring and gland,UV-resistant 6 mm2 PV cable connectors and double gland,1,3.0,estimate,roof,design required,"Includes roof cable support and water-sealed entry"
EC-004,solar,PV isolation and surge enclosure,All-pole 250 VDC isolator plus conditional Type 2 DC SPD,1,1.5,estimate,technical bay,selection open,"SPD retained pending installation risk assessment"
EC-005,solar,MPPT charger,Victron SmartSolar MPPT 250/60-Tr,1,3.0,manufacturer,technical bay,packaging baseline,"250 V PV maximum; 60 A output; 48 V compatible"
EC-006,storage,LFP battery,Victron Lithium NG 51.2 V 100 Ah,2,37.0,manufacturer,technical bay,packaging baseline,"5.12 kWh and 100 A continuous per module"
EC-007,storage,Battery enclosure and restraint,Vehicle-structure restraint thermal barriers and service cradle,1,14.0,estimate,technical bay,design required,"Crash restraint and venting path not yet verified"
EC-008,distribution,Lynx Distributor,Victron Lynx Distributor M10,2,2.2,manufacturer,technical bay,packaging baseline,"Battery-side aggregation and load-side protected distribution"
EC-009,storage,Battery management system,Victron Lynx Smart BMS NG 500A M10,1,1.9,manufacturer,technical bay,packaging baseline,"Includes contactor pre-charge shunt and battery communications"
EC-010,ac power,Inverter charger,Victron MultiPlus-II 48/3000/35-32 230 V,1,19.0,manufacturer,technical bay,packaging baseline,"2400 W continuous at 25 C; 2200 W at 40 C; 35 A charger"
EC-011,12v conversion,Isolated DC-DC converter,Victron Orion-Tr Smart 48/12-30 isolated 360 W,2,1.3,manufacturer,technical bay,packaging baseline,"Separate essential and non-essential 12 V buses"
EC-012,12v distribution,12-circuit fuse block,Blue Sea Systems 5026 ST Blade,2,0.34,manufacturer,technical bay,packaging baseline,"One block per 12 V service bus; 100 A block and 30 A branch maximum"
EC-013,monitoring,System controller display and sensors,Cerbo GX MK2 GX Touch 50 and four temperature sensors,1,1.5,estimate,technical bay and HMI,selection open,"Exact sensor and display mass to be verified"
EC-014,ac power,Shore inlet and AC protection,CEE 16 A inlet double-pole authorization switch RCBOs and enclosure,1,4.0,estimate,body and technical bay,design required,"Final topology and device selection by qualified electrical designer"
EC-015,distribution,DC protection and isolation,Branch fuses holders main service disconnect and guarded terminals,1,5.0,estimate,technical bay,design required,"Interrupt rating requires battery fault-current study"
EC-016,distribution,Power and signal harnesses,DC and AC conductors lugs supports data cables and labels,1,12.0,estimate,distributed,design required,"Replace with measured cable schedule before build release"
EC-017,mechanical,Equipment panels and ventilation,Removable panels rails guards grilles and optional fan provision,1,12.0,estimate,technical bay,design required,"Thermal calculation and measured layout pending"
EC-018,vehicle interface,Vehicle-source charger,Renault-approved interface and charger,0,0.0,deferred,technical bay,deferred,"No vehicle or traction interface may be selected until Renault approval evidence exists"
